Module Code,Title
CN4238E,Chemical & Biochemical Process Modeling
CN4238R,Chemical & Biochemical Process Modeling
CN4240E,Unit Operations and Processes for Effluent Treatment
CN4240R,Processes for Effluent Control
CN4241,Engineering Principles For Drug Delivery
CN4241R,Engineering Principles for Drug Delivery
CN4245,Data Based Process Characterization
CN4245R,Data Based Process Characterisation
CN4246,Chemical And Bio-Catalysis
CN4246E,Chemical And Bio-Catalysis
CN4246R,Chemical and Bio Catalysis
CN4247,Enzyme Technology
CN4247R,Enzyme Technology
CN4248,Sustainable Process Development
CN4249,Engg. Design in Molecular Biotechnology
CN5030,ADVANCED CHEMICAL ENGINEERING THERMODYNAMICS
CN5111,Optimization of Chemical Processes
CN5172,Biochemical Engineering
CN5173,DOWNSTREAM PROCESSING OF BIOCHEMICAL & PHARMACEUTICALPRODUCTS
CN5173,DOWNSTREAM PROCESSING OF BIOCHEMICAL & PHARMACEUTICAL PRODUCTS
CN5181,COMPUTER AIDED CHEMICAL ENGINEERING
CN5191,Project Engineering
CN5222,PHARMACEUTICALS & FINE CHEMICALS
CN5251,Membrane Science and Technology
CN5251,Membrane Science & Technology
CP2201,Journey of the Innovator
CP3201,Industry Seminar
CS1010,Programming Methodology
CS1010E,Programming Methodology
CS1020,Data Structures and Algorithms I
CS1020E,Data Structures and Algorithms I
CS1101,Programming Methodology
CS1101C,Programming Methodology
CS1101S,Programming Methodology
CS1101X,Programming Methodology
CS1101Y,Programming Methodology
CS1101Z,Programming Methodology
CS1102,Data Structures and Algorithms
CS1102C,Data Structures and Algorithms
CS1102S,Data Structures and Algorithms
CS1102X,Data Structures and Algorithms
CS1102Y,Data Structures and Algorithms
CS1105,Computing and Society
CS1231,Discrete Structures
CS1231X,Discrete Structures
CS1231Y,Discrete Structures
CS1280,Java to C++
CS1281,C++ to Java
CS2010,Data Structures and Algorithms II
CS2020,Data Structures and Algorithms Accelerated
CS2100,Computer Organisation
CS2101,Effective Communication for Computing Professionals
CS2102,Database Systems
CS2102S,Database Systems
CS2103,Software Engineering
CS2104,Programming Language Concepts
CS2105,Introduction to Computer Networks
CS2106,Operating Systems
CS2106,Introduction to Operating Systems
CS2107,Introduction to Information and System Security
CS2220,Introduction to Computational Biology
CS2250,Fundamentals of Information Systems
CS2261,Enterprise Systems Development
CS2271,Embedded Systems
CS2281,Programming in UNIX
CS2301,Business And Technical Communication
CS2309,CS Research Methodology
CS3103,COMPUTER NETWORKS AND PROTOCOLS
